Object ID,Map Label,Asset Name,Asset Type,Quantity,lat,lng
1,Trash Can,Turf Trash Can,Trash Can,2,"(37.7444541877,-122.44032658)"
8,Trash Can,Turf Trash Cans,Trash Can,3,"(37.7592866465,-122.427280143)"
10,Trash Can,Concrete Pathway Trash Cans,Trash Can,7,"(37.7582994788,-122.425990875)"
18,Trash Can,Picnic Area 4 Trash Cans,Trash Can,1,"(37.7590335586,-122.427014077)"
25,Trash Can,Children's Play Area Trash Cans,Trash Can,2,"(37.7589805531,-122.426787856)"
27,Trash Can,Children's Play Area Trash Cans,Trash Can,2,"(37.7588445809,-122.426677242)"
31,Trash Can,Perennial Bed Trash Cans,Trash Can,3,"(37.7599982028,-122.428104489)"
34,Trash Can,Picnic Area 2 Trash Cans,Trash Can,4,"(37.7510827782,-122.404450836)"
35,Trash Can,Picnic Area 2 Trash Cans,Trash Can,4,"(37.7510931201,-122.404453375)"
36,Trash Can,Picnic Area 2 Trash Cans,Trash Can,4,"(37.7510648299,-122.404444121)"
38,Trash Can,Turf Trash Cans,Trash Can,5,"(37.7509751355,-122.404955874)"
42,Trash Can,Turf Trash Cans,Trash Can,5,"(37.7512343607,-122.405756781)"
43,Trash Can,Turf Trash Cans,Trash Can,5,"(37.7511356527,-122.405374676)"
50,Trash Can,Picnic Area 1 Trash Cans,Trash Can,4,"(37.7504263776,-122.404441193)"
51,Trash Can,Picnic Area 1 Trash Cans,Trash Can,4,"(37.7504311234,-122.40442441)"
52,Trash Can,Picnic Area 1 Trash Cans,Trash Can,4,"(37.750439131,-122.404413346)"
53,Trash Can,Picnic Area 1 Trash Cans,Trash Can,4,"(37.7504493309,-122.404405154)"
54,Trash Can,Performance Space Trash Cans,Trash Can,1,"(37.7503635071,-122.404801621)"
56,Trash Can,Concrete Pathway Trash Cans,Trash Can,2,"(37.7501539192,-122.405341082)"
58,Trash Can,Turf Trash Cans,Trash Can,5,"(37.7501322673,-122.405046418)"
84,Trash Can,Asphalt Pathway Trash Cans,Trash Can,2,"(37.7609411558,-122.426323259)"
85,Trash Can,Asphalt Pathway Trash Cans,Trash Can,2,"(37.7613227927,-122.426352953)"
86,Trash Can,Turf Trash Cans,Trash Can,3,"(37.7611409352,-122.427285116)"
89,Trash Can,Concrete Pathway Trash Cans,Trash Can,7,"(37.7597065124,-122.42682384)"
90,Trash Can,Concrete Pathway Trash Cans,Trash Can,7,"(37.7595886347,-122.426796371)"
93,Trash Can,Picnic Area 3 Trash Cans,Trash Can,1,"(37.7595802504,-122.427375575)"
95,Trash Can,Concrete Pathway Trash Cans,Trash Can,7,"(37.759752868,-122.426150544)"
96,Trash Can,North Pathway Trash Cans,Trash Can,2,"(37.8010972907,-122.410225589)"
97,Trash Can,North East Pathway PB Trash Cans,Trash Can,2,"(37.801015431,-122.409513032)"
128,Trash Can,Lawn Area Trashcan,Trash Can,8,"(37.7914350711,-122.438779128)"
129,Trash Can,North East Pathway PB Trash Cans,Trash Can,2,"(37.8011194221,-122.409983531)"
131,Trash Can,Lawn Area Trashcan,Trash Can,8,"(37.7917185111,-122.437950136)"
132,Trash Can,Lawn Area Trashcan,Trash Can,8,"(37.791744784,-122.437672234)"
146,Trash Can,Pathway Trash Cans,Trash Can,5,"(37.8004972715,-122.409315438)"
147,Trash Can,Pathway Trash Cans,Trash Can,5,"(37.8012589688,-122.409440903)"
148,Trash Can,Pathway Trash Cans,Trash Can,5,"(37.8010757767,-122.410912314)"
149,Trash Can,Pathway Trash Cans,Trash Can,5,"(37.8008250661,-122.410767642)"
150,Trash Can,Pathway Trash Cans,Trash Can,5,"(37.8006466397,-122.410515779)"
187,Trash Can,Basketball Court Trash Can,Trash Can,1,"(37.7838311676,-122.451238417)"
189,Trash Can,Tennis Court Trash Can,Trash Can,1,"(37.7839184251,-122.451624015)"
196,Trash Can,Softball Trash Can,Trash Can,1,"(37.7841499862,-122.450672583)"
197,Trash Can,Children's Play Area Trash Can,Trash Can,1,"(37.7837492825,-122.451096727)"
201,Trash Can,Hardscaped Area Trash Cans,Trash Can,2,"(37.7828559881,-122.490973648)"
205,Trash Can,Hardscaped Area Trash Cans,Trash Can,2,"(37.7828757497,-122.490641662)"
218,Trash Can,North Pathway Trash Cans,Trash Can,2,"(37.801073123,-122.410436826)"
251,Trash Can,Tennis Court 1 Trash Can,Trash Can,1,"(37.7851013124,-122.478332389)"
252,Trash Can,Basketball Court 1 Trash Can,Trash Can,1,"(37.7850949949,-122.478302785)"
266,Trash Can,Ballfield Trash Can,Trash Can,1,"(37.7437919324,-122.440498702)"
267,Trash Can,Concrete Pathway Trash Cans,Trash Can,2,"(37.7433079157,-122.441221248)"
268,Trash Can,Perennial Bed Trash Cans,Trash Can,1,"(37.7442491688,-122.440344196)"
269,Trash Can,Children's Play Area Trash Can,Trash Can,1,"(37.7435157475,-122.440207179)"
272,Trash Can,Multi-Use Ball Field Trash Cans,Trash Can,2,"(37.7551258415,-122.3972139)"
273,Trash Can,Multi-Use Ball Field Trash Cans,Trash Can,2,"(37.7554027028,-122.397495278)"
274,Trash Can,Softball Field Trash Cans,Trash Can,3,"(37.7558107429,-122.39645216)"
275,Trash Can,Softball Field Trash Cans,Trash Can,3,"(37.7552955998,-122.396366187)"
276,Trash Can,Softball Field Trash Cans,Trash Can,3,"(37.7560003173,-122.397053013)"
277,Trash Can,Turf Trash Cans,Trash Can,8,"(37.7560322161,-122.397700453)"
278,Trash Can,DG Pathway Trash Cans,Trash Can,3,"(37.7560659012,-122.397704461)"
279,Trash Can,DG Pathway Trash Cans,Trash Can,3,"(37.7561018105,-122.396793816)"
280,Trash Can,DG Pathway Trash Cans,Trash Can,3,"(37.7560928953,-122.396881753)"
284,Trash Can,Children's Play Area 2 Trash Cans,Trash Can,1,"(37.7563628135,-122.396731207)"
285,Trash Can,Turf Trash Cans,Trash Can,8,"(37.7563895588,-122.396933411)"
286,Trash Can,Turf Trash Cans,Trash Can,8,"(37.7563565904,-122.397428498)"
287,Trash Can,Turf Trash Cans,Trash Can,8,"(37.7564912285,-122.397450831)"
296,Trash Can,Basketball Court Trash Cans,Trash Can,1,"(37.7568100856,-122.397078508)"
305,Trash Can,Turf Trash Cans,Trash Can,8,"(37.7569085617,-122.397613952)"
306,Trash Can,Turf Trash Cans,Trash Can,8,"(37.7569024676,-122.397556302)"
307,Trash Can,Turf Trash Cans,Trash Can,8,"(37.7568875628,-122.397500638)"
308,Trash Can,Turf Trash Cans,Trash Can,8,"(37.7568622347,-122.397438074)"
318,Trash Can,Children's Play Area Trash Cans,Trash Can,3,"(37.7391631752,-122.449312332)"
319,Trash Can,Children's Play Area Trash Cans,Trash Can,3,"(37.7391684732,-122.449310995)"
320,Trash Can,Children's Play Area Trash Cans,Trash Can,3,"(37.7391734774,-122.44930965)"
322,Trash Can,Softball Field Trash Cans,Trash Can,1,"(37.7389028555,-122.4493151)"
323,Trash Can,Concrete Pathway Trash Cans,Trash Can,2,"(37.738405856,-122.449043339)"
324,Trash Can,Concrete Pathway Trash Cans,Trash Can,2,"(37.7384394141,-122.449034623)"
325,Trash Can,Softball Field Trash Can,Trash Can,1,"(37.7244177823,-122.473898325)"
326,Trash Can,Turf Area Trash Can,Trash Can,1,"(37.7248628403,-122.473538528)"
327,Trash Can,Basketball Court Trash Can,Trash Can,1,"(37.7249093263,-122.473880523)"
328,Trash Can,Multi-Use Paved Playfield Trash Can,Trash Can,2,"(37.7250779858,-122.473926593)"
329,Trash Can,Multi-Use Paved Playfield Trash Can,Trash Can,2,"(37.7252182277,-122.474142289)"
340,Trash Can,Concrete Pathway Trash Cans,Trash Can,1,"(37.7335478831,-122.421487454)"
350,Trash Can,DPA Hardscape Trash Cans,Trash Can,2,"(37.7326630226,-122.420843228)"
351,Trash Can,DPA Hardscape Trash Cans,Trash Can,2,"(37.7328290944,-122.421008031)"
360,Trash Can,Asphalt Pathway Trash Cans,Trash Can,3,"(37.7637850861,-122.438421061)"
361,Trash Can,Asphalt Pathway Trash Cans,Trash Can,3,"(37.7637404031,-122.438590627)"
362,Trash Can,Non-Landscaped Greenspace Trash Cans,Trash Can,1,"(37.7639207535,-122.438038631)"
364,Trash Can,Turf Trash Cans,Trash Can,3,"(37.7582628717,-122.427781037)"
369,Trash Can,Concrete Pathway Trash Cans,Trash Can,7,"(37.7582509224,-122.426733727)"
372,Trash Can,Non-Landscaped Greenspace Trash Cans,Trash Can,1,"(37.7651872621,-122.440870952)"
373,Trash Can,Randall Museum Hardscaped Area Trash Cans,Trash Can,1,"(37.7652964397,-122.440207991)"
374,Trash Can,Dog Play Area Trash Cans,Trash Can,2,"(37.7653240312,-122.440167878)"
375,Trash Can,Dog Play Area Trash Cans,Trash Can,2,"(37.7653220572,-122.440136197)"
376,Trash Can,Natural Area Trash Cans,Trash Can,2,"(37.7645638252,-122.437078391)"
386,Trash Can,Concrete Pathway Trash Cans,Trash Can,1,"(37.7940907217,-122.417363923)"
387,Trash Can,Children's Play Area Trash Cans,Trash Can,1,"(37.7940626285,-122.417495144)"
388,Trash Can,Perennial Bed Trash Cans,Trash Can,1,"(37.7941717628,-122.417366285)"
394,Trash Can,Asphalt Pathway Trash Cans,Trash Can,4,"(37.7134348285,-122.415983325)"
395,Trash Can,Asphalt Pathway Trash Cans,Trash Can,4,"(37.7134238242,-122.415977804)"
396,Trash Can,Asphalt Pathway Trash Cans,Trash Can,4,"(37.7134114344,-122.415972248)"
397,Trash Can,Asphalt Pathway Trash Cans,Trash Can,4,"(37.7133991004,-122.415963202)"
398,Trash Can,Children's Play Area Trash Cans,Trash Can,1,"(37.7136692306,-122.415980638)"
411,Trash Can,Basketball Court Trash Cans,Trash Can,1,"(37.7141619904,-122.416548445)"
424,Trash Can,Children's Play Area Trash Can,Trash Can,4,"(37.7379823701,-122.484884162)"
425,Trash Can,Children's Play Area Trash Can,Trash Can,4,"(37.7377651988,-122.484870757)"
426,Trash Can,Children's Play Area Trash Can,Trash Can,4,"(37.7377336054,-122.48486421)"
427,Trash Can,Children's Play Area Trash Can,Trash Can,4,"(37.7377646676,-122.484543767)"
435,Trash Can,Bob Chaney Field,Trash Can,2,"(37.7387634629,-122.484849896)"
436,Trash Can,Bob Chaney Field,Trash Can,2,"(37.7387686307,-122.484812013)"
439,Trash Can,Turf Trash Can,Trash Can,4,"(37.7388383716,-122.483589904)"
440,Trash Can,Turf Trash Can,Trash Can,4,"(37.7388444657,-122.483496915)"
441,Trash Can,Turf Trash Can,Trash Can,4,"(37.7388488909,-122.483413388)"
442,Trash Can,Turf Trash Can,Trash Can,4,"(37.73885338,-122.483326059)"
467,Trash Can,Picnic Area 2 Trash Cans,Trash Can,4,"(37.7510730445,-122.404448191)"
468,Trash Can,Concrete Pathway Trash Cans,Trash Can,2,"(37.7506088562,-122.405531754)"
470,Trash Can,Turf Trash Cans,Trash Can,5,"(37.7506844633,-122.40495841)"
473,Trash Can,Natural Area Trash Cans,Trash Can,1,"(37.7336060302,-122.439198748)"
474,Trash Can,Natural Area Trash Can,Trash Can,2,"(37.7557105924,-122.472039216)"
475,Trash Can,Natural Area Trash Can,Trash Can,2,"(37.7563777819,-122.471084302)"
514,Trash Can,Asphalt Pathway Trash Cans,Trash Can,3,"(37.7637378216,-122.438485279)"
529,Trash Can,Children's Play Area Trash Cans,Trash Can,1,"(37.7638752254,-122.399543589)"
531,Trash Can,Basketball Court Trash Cans,Trash Can,2,"(37.7639034759,-122.399566848)"
532,Trash Can,Basketball Court Trash Cans,Trash Can,2,"(37.7638562935,-122.399563839)"
536,Trash Can,Tot's Play Area Trash Cans,Trash Can,1,"(37.7639596614,-122.399188781)"
537,Trash Can,Turf Trash Cans,Trash Can,6,"(37.7640308443,-122.399034654)"
538,Trash Can,Turf Trash Cans,Trash Can,6,"(37.7640305394,-122.399053576)"
539,Trash Can,Turf Trash Cans,Trash Can,6,"(37.7640287169,-122.399077868)"
543,Trash Can,Picnic Area Trash Cans,Trash Can,3,"(37.7642049865,-122.398841692)"
544,Trash Can,Picnic Area Trash Cans,Trash Can,3,"(37.764176823,-122.398813027)"
545,Trash Can,Picnic Area Trash Cans,Trash Can,3,"(37.7641433082,-122.39885003)"
546,Trash Can,Turf Trash Cans,Trash Can,6,"(37.76411653,-122.398957519)"
547,Trash Can,Turf Trash Cans,Trash Can,6,"(37.7641625827,-122.398897399)"
552,Trash Can,Trash Cans,Trash Can,19,"(37.7761260762,-122.433403874)"
562,Trash Can,Trash Cans,Trash Can,19,"(37.7758672975,-122.434412547)"
581,Trash Can,Trash Cans,Trash Can,19,"(37.7762230909,-122.436193156)"
585,Trash Can,Trash Cans,Trash Can,19,"(37.7768695635,-122.435169615)"
595,Trash Can,Trash Cans,Trash Can,19,"(37.7765494292,-122.436022492)"
597,Trash Can,Trash Cans,Trash Can,19,"(37.7768119374,-122.435817143)"
598,Trash Can,Trash Cans,Trash Can,19,"(37.7766196804,-122.435695492)"
602,Trash Can,Trash Cans,Trash Can,19,"(37.7763033085,-122.435010848)"
603,Trash Can,Trash Cans,Trash Can,19,"(37.7758818731,-122.435482238)"
605,Trash Can,Trash Cans,Trash Can,19,"(37.7757541489,-122.435841777)"
606,Trash Can,Trash Cans,Trash Can,19,"(37.775928084,-122.435190854)"
609,Trash Can,Trash Cans,Trash Can,19,"(37.7758063441,-122.434784955)"
610,Trash Can,Trash Cans,Trash Can,19,"(37.7759199816,-122.434535646)"
618,Trash Can,Trash Cans,Trash Can,19,"(37.7764863703,-122.434617761)"
619,Trash Can,Trash Cans,Trash Can,19,"(37.7765155794,-122.43477621)"
620,Trash Can,Trash Cans,Trash Can,19,"(37.7764132107,-122.433652651)"
639,Trash Can,Turf Trash Cans,Trash Can,5,"(37.7819665063,-122.42662414)"
